match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Benfica vs Nacional,Benfica,Nacional,2026-04-12 17:00:00+00:00,Away Win,0.8651058077812195,22.0,0.045454545454545456,0.8196512623266741,18.03232777118683,21.46705687046051,0.8651058077812195
Tondela vs GIL Vicente,Tondela,GIL Vicente,2026-04-13 19:15:00+00:00,Home Win,0.6796939373016357,4.25,0.23529411764705882,0.4443998196545769,1.888699233531952,14.528455642553476,0.6796939373016357
NEC Nijmegen vs Feyenoord,NEC Nijmegen,Feyenoord,2026-04-12 12:30:00+00:00,Draw,0.6572187542915344,4.0,0.25,0.4072187542915344,1.6288750171661377,13.573958476384481,0.6572187542915344
