match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Bari vs Venezia,Bari,Venezia,2026-04-18 13:00:00+00:00,Home Win,0.893301784992218,7.0,0.14285714285714285,0.7504446421350752,5.253112494945526,21.88796872893969,0.893301784992218
Sheffield Wednesday vs Charlton,Sheffield Wednesday,Charlton,2026-04-18 14:00:00+00:00,Home Win,0.7011878490447998,4.9,0.2040816326530612,0.4971062163917386,2.4358204603195195,15.614233719996918,0.7011878490447998
Sporting CP vs Benfica,Sporting CP,Benfica,2026-04-19 17:00:00+00:00,Away Win,0.859576404094696,3.32,0.30120481927710846,0.5583715848175876,1.8537936615943906,19.976224801663694,0.859576404094696
Nacional vs Alverca,Nacional,Alverca,2026-04-18 14:30:00+00:00,Home Win,0.8710761666297913,2.27,0.44052863436123346,0.4305475322685578,0.9773428982496262,19.23903343011075,0.8710761666297913
Wellington Phoenix vs Western Sydney Wanderers,Wellington Phoenix,Western Sydney Wanderers,2026-04-18 05:00:00+00:00,Home Win,0.800825297832489,2.43,0.4115226337448559,0.3893026640876331,0.9460054737329484,16.538557233093503,0.800825297832489
Spezia vs Sudtirol,Spezia,Sudtirol,2026-04-18 13:00:00+00:00,Home Win,0.6943057179450989,2.42,0.4132231404958678,0.2810825774492311,0.6802198374271392,11.97570136315386,0.6943057179450989
Mantova vs Avellino,Mantova,Avellino,2026-04-18 13:00:00+00:00,Home Win,0.6943057179450989,2.27,0.44052863436123346,0.2537770835838654,0.5760739797353744,11.340038971168788,0.6943057179450989
Derby vs Oxford United,Derby,Oxford United,2026-04-18 11:30:00+00:00,Home Win,0.759759247303009,1.96,0.5102040816326531,0.24955516567035596,0.48912812471389766,12.737711581091085,0.759759247303009
Arouca vs Estrela,Arouca,Estrela,2026-04-19 14:30:00+00:00,Home Win,0.6508795619010925,2.1,0.47619047619047616,0.17468908571061637,0.3668470799922944,8.337433636188509,0.6508795619010925
Wrexham vs Stoke City,Wrexham,Stoke City,2026-04-18 14:00:00+00:00,Home Win,0.7357394099235535,1.74,0.5747126436781609,0.16102676624539258,0.28018657326698304,9.46576261037105,0.7357394099235535
