match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Sporting CP vs Benfica,Sporting CP,Benfica,2026-04-19 17:00:00+00:00,Away Win,0.8664728999137878,3.27,0.3058103975535168,0.560662502360271,1.8333663827180862,20.191259721564826,0.8664728999137878
Ipswich vs Middlesbrough,Ipswich,Middlesbrough,2026-04-19 11:00:00+00:00,Away Win,0.721738874912262,3.05,0.3278688524590164,0.39387002245324554,1.201303568482399,14.650043518078038,0.721738874912262
Oxford United vs Wrexham,Oxford United,Wrexham,2026-04-21 18:45:00+00:00,Home Win,0.6620784401893616,2.88,0.3472222222222222,0.31485621796713936,0.9067859077453613,12.058323241294698,0.6620784401893616
