match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Bari vs Venezia,Bari,Venezia,2026-04-18 13:00:00+00:00,Home Win,0.893301784992218,7.0,0.14285714285714285,0.7504446421350752,5.253112494945526,21.88796872893969,0.893301784992218
Sheffield Wednesday vs Charlton,Sheffield Wednesday,Charlton,2026-04-18 14:00:00+00:00,Home Win,0.7011878490447998,5.0,0.2,0.5011878490447998,2.505939245223999,15.662120282649994,0.7011878490447998
Sporting CP vs Benfica,Sporting CP,Benfica,2026-04-19 17:00:00+00:00,Away Win,0.859576404094696,3.32,0.30120481927710846,0.5583715848175876,1.8537936615943906,19.976224801663694,0.859576404094696
Nacional vs Alverca,Nacional,Alverca,2026-04-18 14:30:00+00:00,Home Win,0.8710761666297913,2.27,0.44052863436123346,0.4305475322685578,0.9773428982496262,19.23903343011075,0.8710761666297913
Wellington Phoenix vs Western Sydney Wanderers,Wellington Phoenix,Western Sydney Wanderers,2026-04-18 05:00:00+00:00,Home Win,0.800825297832489,2.43,0.4115226337448559,0.3893026640876331,0.9460054737329484,16.538557233093503,0.800825297832489
Spezia vs Sudtirol,Spezia,Sudtirol,2026-04-18 13:00:00+00:00,Home Win,0.6943057179450989,2.45,0.4081632653061224,0.2861424526389765,0.7010490089654924,12.087051878715384,0.6943057179450989
Mantova vs Avellino,Mantova,Avellino,2026-04-18 13:00:00+00:00,Home Win,0.6943057179450989,2.3,0.4347826086956522,0.25952310924944666,0.5969031512737273,11.478906755263987,0.6943057179450989
Derby vs Oxford United,Derby,Oxford United,2026-04-18 11:30:00+00:00,Home Win,0.759759247303009,1.96,0.5102040816326531,0.24955516567035596,0.48912812471389766,12.737711581091085,0.759759247303009
Arouca vs Estrela,Arouca,Estrela,2026-04-19 14:30:00+00:00,Home Win,0.6508795619010925,2.11,0.47393364928909953,0.176945912611993,0.3733558756113051,8.408916117371739,0.6508795619010925
Wrexham vs Stoke City,Wrexham,Stoke City,2026-04-18 14:00:00+00:00,Home Win,0.7357394099235535,1.76,0.5681818181818182,0.16755759174173523,0.2949013614654541,9.700702679784674,0.7357394099235535
