match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Benfica vs Nacional,Benfica,Nacional,2026-04-12 17:00:00+00:00,Away Win,0.8542728424072266,21.0,0.047619047619047616,0.8066537947881789,16.939729690551758,21.174662113189697,0.8542728424072266
AVS vs Guimaraes,AVS,Guimaraes,2026-04-11 14:30:00+00:00,Home Win,0.7710059285163879,6.12,0.16339869281045752,0.6076072357059304,3.7185562825202942,18.157013098243624,0.7710059285163879
Leicester vs Swansea,Leicester,Swansea,2026-04-11 14:00:00+00:00,Away Win,0.6890314817428589,4.01,0.24937655860349128,0.4396549231393676,1.763016241788864,14.642992041435749,0.6890314817428589
Avellino vs Catanzaro,Avellino,Catanzaro,2026-04-11 15:15:00+00:00,Home Win,0.6818960905075073,2.75,0.36363636363636365,0.3182597268711437,0.8752142488956451,12.503060698509216,0.6818960905075073
Charlton vs Preston,Charlton,Preston,2026-04-11 14:00:00+00:00,Home Win,0.7360881567001343,2.18,0.4587155963302752,0.2773725603698591,0.6046721816062929,12.810851305218069,0.7360881567001343
Santa Clara vs Rio Ave,Santa Clara,Rio Ave,2026-04-11 17:00:00+00:00,Home Win,0.7930580377578735,1.82,0.5494505494505494,0.24360748830732415,0.44336562871932983,13.517244778028347,0.7930580377578735
Sheffield Utd vs Hull City,Sheffield Utd,Hull City,2026-04-11 14:00:00+00:00,Home Win,0.7118114233016968,1.82,0.5494505494505494,0.1623608738511474,0.29549679040908816,9.009048488081955,0.7118114233016968
