match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Venezia vs Empoli,Venezia,Empoli,2026-04-25 15:15:00+00:00,Away Win,0.8108293414115906,8.5,0.11764705882352941,0.6931822825880611,5.89204940199852,19.6401646733284,0.8108293414115906
Tondela vs Nacional,Tondela,Nacional,2026-04-25 14:30:00+00:00,Home Win,0.9195002913475037,2.95,0.3389830508474576,0.580517240500046,1.712525859475136,21.955459736860718,0.9195002913475037
Heracles vs FC Volendam,Heracles,FC Volendam,2026-04-26 12:30:00+00:00,Away Win,0.7200834155082703,3.15,0.31746031746031744,0.4026230980479528,1.2682627588510513,14.747241381988971,0.7200834155082703
Perth Glory vs Brisbane Roar,Perth Glory,Brisbane Roar,2026-04-25 11:45:00+00:00,Home Win,0.8382250666618347,2.7,0.37037037037037035,0.46785469629146437,1.2632076799869538,18.576583529219906,0.8382250666618347
Sydney vs Auckland,Sydney,Auckland,2026-04-26 05:00:00+00:00,Home Win,0.8382250666618347,2.61,0.3831417624521073,0.4550833042097274,1.1877674239873885,18.443593540176842,0.8382250666618347
Stoke City vs Portsmouth,Stoke City,Portsmouth,2026-04-25 14:00:00+00:00,Home Win,0.6548931002616882,2.8,0.35714285714285715,0.2977502431188311,0.833700680732727,11.579176121287874,0.6548931002616882
Sudtirol vs Mantova,Sudtirol,Mantova,2026-04-25 13:00:00+00:00,Home Win,0.6886070966720581,2.33,0.4291845493562232,0.2594225473158349,0.6044545352458954,11.361927354246154,0.6886070966720581
Coventry vs Wrexham,Coventry,Wrexham,2026-04-26 11:00:00+00:00,Home Win,0.7129379510879517,2.2,0.45454545454545453,0.25839249654249713,0.5684634923934938,11.842989424864452,0.7129379510879517
Twente vs NEC Nijmegen,Twente,NEC Nijmegen,2026-04-25 19:00:00+00:00,Home Win,0.6696473360061646,1.97,0.5076142131979695,0.16203312280819504,0.3192052519321441,8.22693948278722,0.6696473360061646
Heerenveen vs Fortuna Sittard,Heerenveen,Fortuna Sittard,2026-04-25 16:45:00+00:00,Home Win,0.8180443644523621,1.55,0.6451612903225806,0.17288307412978143,0.2679687649011612,12.180398404598236,0.8180443644523621
