match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Bari vs Venezia,Bari,Venezia,2026-04-18 13:00:00+00:00,Home Win,0.9264585375785828,7.0,0.14285714285714285,0.78360139472144,5.485209763050079,22.85504067937533,0.9264585375785828
GIL Vicente vs Guimaraes,GIL Vicente,Guimaraes,2026-04-18 19:30:00+00:00,Away Win,0.7477737665176392,3.85,0.2597402597402597,0.48803350677737944,1.878929001092911,16.48183334292027,0.7477737665176392
Sporting CP vs Benfica,Sporting CP,Benfica,2026-04-19 17:00:00+00:00,Away Win,0.862201988697052,3.32,0.30120481927710846,0.5609971694199436,1.8625106024742126,20.070157354247982,0.862201988697052
Moreirense vs Estoril,Moreirense,Estoril,2026-04-20 19:15:00+00:00,Home Win,0.7204673886299133,3.16,0.3164556962025316,0.4040116924273817,1.2766769480705262,14.776353565631089,0.7204673886299133
Nacional vs Alverca,Nacional,Alverca,2026-04-18 14:30:00+00:00,Home Win,0.8909324407577515,2.29,0.4366812227074236,0.45425121805032787,1.040235289335251,20.159598630528116,0.8909324407577515
Spezia vs Sudtirol,Spezia,Sudtirol,2026-04-18 13:00:00+00:00,Home Win,0.6984363794326782,2.61,0.3831417624521073,0.31529461698057093,0.82291895031929,12.778244570175312,0.6984363794326782
Mantova vs Avellino,Mantova,Avellino,2026-04-18 13:00:00+00:00,Home Win,0.6984363794326782,2.44,0.4098360655737705,0.2886003138589077,0.7041847658157347,12.22542996207873,0.6984363794326782
Arouca vs Estrela,Arouca,Estrela,2026-04-19 14:30:00+00:00,Home Win,0.7487042546272278,2.11,0.47393364928909953,0.27477060533812825,0.5797659772634506,13.057792280708346,0.7487042546272278
West Brom vs Watford,West Brom,Watford,2026-04-21 18:45:00+00:00,Home Win,0.7463088035583496,2.04,0.49019607843137253,0.2561127251269771,0.5224699592590333,12.559374020649837,0.7463088035583496
SC Braga vs Famalicao,SC Braga,Famalicao,2026-04-19 19:30:00+00:00,Home Win,0.7487042546272278,1.92,0.5208333333333334,0.2278709212938944,0.43751216888427724,11.888917632724926,0.7487042546272278
Derby vs Oxford United,Derby,Oxford United,2026-04-18 11:30:00+00:00,Home Win,0.7266408801078796,1.97,0.5076142131979695,0.21902666690991013,0.4314825338125229,11.120683861147498,0.7266408801078796
Wrexham vs Stoke City,Wrexham,Stoke City,2026-04-18 14:00:00+00:00,Home Win,0.7843749523162842,1.72,0.5813953488372093,0.20297960347907484,0.3491249179840088,12.122392985555862,0.7843749523162842
Millwall vs QPR,Millwall,QPR,2026-04-18 11:30:00+00:00,Home Win,0.7463088035583496,1.72,0.5813953488372093,0.16491345472114027,0.28365114212036135,9.848997990290325,0.7463088035583496
