match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
PSV Eindhoven vs PEC Zwolle,PSV Eindhoven,PEC Zwolle,2026-04-23 19:00:00+00:00,Away Win,0.736068606376648,13.5,0.07407407407407407,0.6619945323025739,8.936926186084747,17.873852372169495,0.736068606376648
Venezia vs Empoli,Venezia,Empoli,2026-04-25 15:15:00+00:00,Away Win,0.8107857704162598,9.0,0.1111111111111111,0.6996746593051486,6.297071933746338,19.678349792957306,0.8107857704162598
Monza vs Modena,Monza,Modena,2026-04-24 17:00:00+00:00,Away Win,0.6654853820800781,4.65,0.2150537634408602,0.45043161863921793,2.0945070266723635,14.345938538851804,0.6654853820800781
Tondela vs Nacional,Tondela,Nacional,2026-04-25 14:30:00+00:00,Home Win,0.9027962684631348,2.97,0.33670033670033667,0.566095931762798,1.6813049173355104,21.336356818978555,0.9027962684631348
Heracles vs FC Volendam,Heracles,FC Volendam,2026-04-26 12:30:00+00:00,Away Win,0.7462324500083923,3.2,0.3125,0.43373245000839233,1.3879438400268556,15.772089091214267,0.7462324500083923
Perth Glory vs Brisbane Roar,Perth Glory,Brisbane Roar,2026-04-25 11:45:00+00:00,Home Win,0.6960280537605286,2.7,0.37037037037037035,0.3256576833901582,0.8792757451534272,12.930525664020987,0.6960280537605286
Sydney vs Auckland,Sydney,Auckland,2026-04-26 05:00:00+00:00,Home Win,0.6960280537605286,2.6,0.3846153846153846,0.311412669145144,0.8096729397773743,12.651139684021473,0.6960280537605286
Norwich vs Swansea,Norwich,Swansea,2026-04-25 14:00:00+00:00,Home Win,0.7939732074737549,1.76,0.5681818181818182,0.22579138929193665,0.39739284515380857,13.07213306427002,0.7939732074737549
